new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,reproduction_rate,icu_patients,hosp_patients,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations_smoothed,new_people_vaccinated_smoothed,stringency_index,population
197,98,0,0.571,2.56,53,263,0.095,10.5,0,0,0,0,0,0,50.93,11632334
172,117,1,0.714,2.51,79,370,0.104,9.6,0,0,0,0,0,0,50.93,11632334
185,139.429,5,1.429,2.46,100,493,0.122,8.2,0,0,0,0,0,0,50.93,11632334
243,167.429,4,1.571,2.42,130,646,0.136,7.4,0,0,0,0,0,0,73.15,11632334
309,211.571,7,2.571,2.37,164,840,0.155,6.5,0,0,0,0,0,0,73.15,11632334
462,242.571,16,4.857,2.3,229,1108,0.183,5.5,0,0,0,0,0,0,81.48,11632334
558,303.714,30,9,2.27,290,1384,0.21,4.8,0,0,0,0,0,0,81.48,11632334
586,359.286,8,10.143,2.22,326,1661,0.222,4.5,0,0,0,0,0,0,81.48,11632334
342,383.571,13,11.857,2.18,385,1883,0.251,4,0,0,0,0,0,0,81.48,11632334
526,432.286,34,16,2.14,487,2204,0.274,3.6,0,0,0,0,0,0,81.48,11632334
668,493,56,23.429,2.1,612,2721,0.294,3.4,0,0,0,0,0,0,81.48,11632334
1298,634.286,42,28.429,2.05,699,3111,0.312,3.2,0,0,0,0,0,0,81.48,11632334
1049,718.143,69,36,1.98,789,3649,0.319,3.1,0,0,0,0,0,0,81.48,11632334
1850,902.714,64,40.857,1.92,867,4088,0.324,3.1,0,0,0,0,0,0,81.48,11632334
1702,1062.143,78,50.857,1.86,961,4536,0.327,3.1,0,0,0,0,0,0,81.48,11632334
1063,1165.143,82,60.714,1.78,1021,4897,0.325,3.1,0,0,0,0,0,0,81.48,11632334
876,1215.143,192,83.286,1.7,1088,4988,0.318,3.1,0,0,0,0,0,0,81.48,11632334
1189,1289.571,123,92.857,1.62,1144,5219,0.311,3.2,0,0,0,0,0,0,81.48,11632334
1384,1301.857,183,113,1.55,1205,5398,0.302,3.3,0,0,0,0,0,0,81.48,11632334
1422,1355.143,132,122,1.49,1256,5562,0.297,3.4,0,0,0,0,0,0,81.48,11632334
1661,1328.143,140,132.857,1.44,1261,5531,0.29,3.4,0,0,0,0,0,0,81.48,11632334
1260,1265,164,145.143,1.4,1267,5620,0.282,3.5,0,0,0,0,0,0,81.48,11632334
1123,1273.571,185,159.857,1.36,1260,5759,0.273,3.7,0,0,0,0,0,0,81.48,11632334
1380,1345.571,403,190,1.32,1276,5710,0.267,3.7,0,0,0,0,0,0,81.48,11632334
1209,1348.429,205,201.714,1.28,1286,5620,0.256,3.9,0,0,0,0,0,0,81.48,11632334
1580,1376.429,283,216,1.24,1279,5640,0.248,4,0,0,0,0,0,0,81.48,11632334
1684,1413.857,496,268,1.2,1262,5663,0.237,4.2,0,0,0,0,0,0,81.48,11632334
1351,1369.571,327,294.714,1.17,1251,5538,0.225,4.4,0,0,0,0,0,0,81.48,11632334
1629,1422.286,254,307.571,1.15,1253,5542,0.219,4.6,0,0,0,0,0,0,81.48,11632334
942,1396.429,303,324.429,1.12,1226,5554,0.21,4.8,0,0,0,0,0,0,81.48,11632334
530,1275,254,303.143,1.1,1204,5532,0.199,5,0,0,0,0,0,0,81.48,11632334
2454,1452.857,283,314.286,1.08,1182,5331,0.192,5.2,0,0,0,0,0,0,81.48,11632334
1236,1403.714,417,333.429,1.04,1150,5181,0.178,5.6,0,0,0,0,0,0,81.48,11632334
1329,1353,306,306.286,1.01,1119,5088,0.166,6,0,0,0,0,0,0,81.48,11632334
1045,1309.286,290,301,0.98,1081,4889,0.159,6.3,0,0,0,0,0,0,81.48,11632334
1313,1264.143,230,297.571,0.97,1071,4940,0.15,6.7,0,0,0,0,0,0,81.48,11632334
1487,1342,145,275,0.95,1079,4996,0.144,6.9,0,0,0,0,0,0,81.48,11632334
973,1405.286,170,263,0.92,1020,4765,0.133,7.5,0,0,0,0,0,0,81.48,11632334
933,1188,264,260.286,0.89,993,4527,0.12,8.3,0,0,0,0,0,0,81.48,11632334
908,1141.143,228,233.286,0.86,970,4353,0.106,9.4,0,0,0,0,0,0,81.48,11632334
1496,1165,189,216.571,0.84,934,4195,0.091,11,0,0,0,0,0,0,81.48,11632334
1032,1163.143,238,209.143,0.81,901,3957,0.078,12.8,0,0,0,0,0,0,81.48,11632334
