new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,reproduction_rate,icu_patients,hosp_patients,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations_smoothed,new_people_vaccinated_smoothed,stringency_index,population
1281,977.714,23,19,1.79,174,526,0.0754,13.3,0,0,0,0,0,0,74.54,38067913
1692,1095.571,49,23.857,1.73,362,993,0.0796,12.6,0,0,0,0,0,0,74.54,38067913
1340,1187.143,53,30.143,1.66,397,1129,0.084,11.9,0,0,0,0,0,0,74.54,38067913
1347,1260.143,83,39.714,1.6,424,1216,0.0869,11.5,0,0,0,0,0,0,72.69,38067913
1569,1351.429,75,48.429,1.54,455,1272,0.096,10.4,0,0,0,0,0,0,72.69,38067913
1046,1342.857,85,56.429,1.47,486,1351,0.0967,10.3,0,0,0,0,0,0,72.69,38067913
1337,1373.143,60,61.143,1.43,505,1430,0.105,9.5,0,0,0,0,0,0,72.69,38067913
1296,1375.286,68,67.571,1.39,523,1467,0.1117,9,0,0,0,0,0,0,72.69,38067913
1379,1330.571,124,78.286,1.35,561,1538,0.1155,8.7,0,0,0,0,0,0,72.69,38067913
1244,1316.857,95,84.286,1.33,542,1629,0.1207,8.3,0,0,0,0,0,0,72.69,38067913
1307,1311.143,119,89.429,1.31,561,1696,0.1245,8,0,0,0,0,0,0,72.69,38067913
1219,1261.143,109,94.286,1.29,570,1792,0.1204,8.3,0,0,0,0,0,0,72.69,38067913
1634,1345.143,130,100.714,1.28,576,1872,0.1274,7.9,0,0,0,0,0,0,72.69,38067913
1626,1386.429,136,111.571,1.27,571,1936,0.1256,8,0,0,0,0,0,0,72.69,38067913
1660,1438.429,154,123.857,1.26,560,2006,0.1241,8.1,0,0,0,0,0,0,72.69,38067913
2567,1608.143,203,135.143,1.24,540,2048,0.1359,7.4,0,0,0,0,0,0,72.69,38067913
2086,1728.429,126,139.571,1.22,534,2131,0.1405,7.1,0,0,0,0,0,0,72.69,38067913
1482,1753.429,143,143,1.19,592,2182,0.1405,7.1,0,0,0,0,0,0,72.69,38067913
1668,1817.571,158,150,1.16,516,2132,0.1395,7.2,0,0,0,0,0,0,72.69,38067913
1565,1807.714,146,152.286,1.14,527,2188,0.1231,8.1,0,0,0,0,0,0,72.69,38067913
1743,1824.429,193,160.429,1.12,531,2305,0.113,8.8,0,0,0,0,0,0,72.69,38067913
2307,1916.857,195,166.286,1.11,518,2369,0.1104,9.1,0,0,0,0,0,0,72.69,38067913
1669,1788.571,171,161.714,1.08,513,2517,0.094,10.6,0,0,0,0,0,0,72.69,38067913
1697,1733,180,169.429,1.06,540,2582,0.0841,11.9,0,0,0,0,0,0,72.69,38067913
1563,1744.571,187,175.714,1.05,533,2649,0.0766,13,0,0,0,0,0,0,72.69,38067913
1432,1710.857,157,175.571,1.03,536,2676,0.0703,14.2,0,0,0,0,0,0,72.69,38067913
1619,1718.571,185,181.143,1.02,516,2713,0.0688,14.5,0,0,0,0,0,0,72.69,38067913
1676,1709,197,181.714,1.01,521,2807,0.0663,15.1,0,0,0,0,0,0,72.69,38067913
