new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,reproduction_rate,icu_patients,hosp_patients,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations_smoothed,new_people_vaccinated_smoothed,stringency_index,population
198,359.286,1,1.429,1.18,82,426,0.0343,29.1,0,0,0,0,0,0,71.3,25788217
303,356.857,2,1.714,1.09,86,441,0.033,30.3,0,0,0,0,0,0,71.3,25788217
254,329.429,4,1.571,0.99,92,415,0.0294,34,0,0,0,0,0,0,73.15,25788217
214,312.429,4,2.143,0.88,93,457,0.0271,37,0,0,0,0,0,0,73.15,25788217
220,272.857,2,2.286,0.79,95,490,0.0229,43.6,0,0,0,0,0,0,73.15,25788217
137,243.286,5,2.714,0.72,96,457,0.0198,50.4,0,0,0,0,0,0,73.15,25788217
110,205.143,5,3.286,0.67,93,305,0.0181,55.1,0,0,0,0,0,0,73.15,25788217
98,190.857,5,3.857,0.63,87,263,0.0178,56.1,0,0,0,0,0,0,73.15,25788217
115,164,5,4.286,0.59,81,262,0.0161,62.1,0,0,0,0,0,0,73.15,25788217
98,141.714,1,3.857,0.55,81,247,0.0142,70.4,0,0,0,0,0,0,73.15,25788217
107,126.429,3,3.714,0.5,80,240,0.0135,74.3,0,0,0,0,0,0,73.15,25788217
88,107.571,3,3.857,0.46,83,239,0.012,83.6,0,0,0,0,0,0,73.15,25788217
12,89.714,3,3.571,0.42,79,227,0.0111,90.4,0,0,0,0,0,0,73.15,25788217
36,79.143,1,3,0.42,80,230,0.0093,107.3,0,0,0,0,0,0,73.15,25788217
64,74.286,1,2.429,0.42,73,214,0.0093,107.3,0,0,0,0,0,0,73.15,25788217
25,61.429,1,1.857,0.41,67,201,0.0083,121,0,0,0,0,0,0,69.44,25788217
22,50.571,0,1.714,0.41,60,192,0.0071,140.9,0,0,0,0,0,0,69.44,25788217
60,43.857,3,1.714,0.41,55,184,0.0058,173.2,0,0,0,0,0,0,69.44,25788217
46,37.857,1,1.429,0.39,48,177,0.0045,221.4,0,0,0,0,0,0,69.44,25788217
42,42.143,0,1,0.39,49,170,0.0044,227.3,0,0,0,0,0,0,69.44,25788217
13,38.857,0,0.857,0.38,47,167,0.0039,255.9,0,0,0,0,0,0,69.44,25788217
22,32.857,0,0.714,0.37,46,161,0.0031,318.9,0,0,0,0,0,0,69.44,25788217
7,30.286,0,0.571,0.37,45,152,0.0026,382.4,0,0,0,0,0,0,69.44,25788217
10,28.571,8,1.714,0.37,42,138,0.0023,433.3,0,0,0,0,0,0,69.44,25788217
15,22.143,4,1.857,0.39,43,129,0.0017,586.1,0,0,0,0,0,0,69.44,25788217
17,18,1,1.857,0.41,43,115,0.0014,696.4,0,0,0,0,0,0,69.44,25788217
20,14.857,3,2.286,0.44,43,113,0.0012,821.7,0,0,0,0,0,0,69.44,25788217
7,14,0,2.286,0.48,42,109,0.0011,870.7,0,0,0,0,0,0,69.44,25788217
23,14.143,6,3.143,0.52,38,93,0.0011,917.6,0,0,0,0,0,0,69.44,25788217
8,14.286,2,3.429,0.55,34,89,0.0011,919.6,0,0,0,0,0,0,69.44,25788217
14,14.857,2,2.571,0.59,28,83,0.0011,932.6,0,0,0,0,0,0,69.44,25788217
12,14.429,0,2,0.64,28,79,0.0009,1054.4,0,0,0,0,0,0,69.44,25788217
21,15,1,2,0.69,28,75,0.0009,1117.4,0,0,0,0,0,0,69.44,25788217
23,15.429,1,1.714,0.75,28,70,0.0009,1172.7,0,0,0,0,0,0,69.44,25788217
25,18,1,1.857,0.79,27,66,0.0009,1056.8,0,0,0,0,0,0,69.44,25788217
28,18.714,1,1.143,0.81,27,62,0.001,1023.5,0,0,0,0,0,0,69.44,25788217
19,20.286,0,0.857,0.8,23,58,0.001,1015.8,0,0,0,0,0,0,69.44,25788217
19,21,0,0.571,0.77,21,56,0.0009,1081,0,0,0,0,0,0,69.44,25788217
5,20,0,0.571,0.75,19,51,0.0008,1202.8,0,0,0,0,0,0,69.44,25788217
21,20,0,0.429,0.76,17,43,0.0008,1313.4,0,0,0,0,0,0,69.44,25788217
9,18,0,0.286,0.77,16,49,0.0006,1545.8,0,0,0,0,0,0,69.44,25788217
22,17.571,0,0.143,0.79,16,47,0.0006,1665.9,0,0,0,0,0,0,69.44,25788217
10,15,1,0.143,0.8,17,50,0.0005,2030.2,0,0,0,0,0,0,69.44,25788217
9,13.571,0,0.143,0.81,18,51,0.0004,2319.7,0,0,0,0,0,0,69.44,25788217
30,15.143,0,0.143,0.84,17,46,0.0005,2084.3,0,0,0,0,0,0,69.44,25788217
16,16.714,0,0.143,0.81,16,49,0.0005,1936.5,0,0,0,0,0,0,65.74,25788217
9,15,0,0.143,0.76,16,50,0.0005,2097.1,0,0,0,0,0,0,64.35,25788217
10,15.143,1,0.286,0.75,12,45,0.0005,2021.3,0,0,0,0,0,0,64.35,25788217
14,14,0,0.286,0.75,11,47,0.0005,2111.4,0,0,0,0,0,0,67.13,25788217
4,13.143,1,0.286,0.74,9,43,0.0004,2260.2,0,0,0,0,0,0,67.13,25788217
9,13.143,0,0.286,0.76,9,41,0.0005,2201.6,0,0,0,0,0,0,67.13,25788217
14,10.857,1,0.429,0.78,7,39,0.0004,2555.3,0,0,0,0,0,0,67.13,25788217
